Name,Address,Phone,Website,Email,Email_Confidence,Review_Score,Review_Count,Lead_Score,City,Niche,Notes
"QuickSites LLC","N/A","(352) 612-4324","https://quicksitesllc.com/","","",5,1,Hot,Ocala,Roofing,"Only 1 review - major visibility issue"
"All Pro Roofing","1800 SW College Rd, Ocala, FL 34471","(352) 566-7772","N/A","","",5,1,Hot,Ocala,Roofing,"No website - major gap"
"Marion/Service Roofing & Sheet Metal Company","1011 SW 33rd Ave # 200, Ocala, FL 34474","(352) 622-7256","https://tri-stateservicegroup.com/ocala-fl/","joefeldmann@tri-stateservicegroup.com","94%",5,3,Hot,Ocala,Roofing,"Very low review count"
"Genesis FJ Roofing LLC","1421 SW 27th Ave, Ocala, FL 34471","(352) 286-5112","http://www.genesisroofingllc.com/","","",5,2,Hot,Ocala,Roofing,"Nearly invisible online"
"Retex Roofing Ocala","603 E Fort King St, Ocala, FL 34471","(352) 222-8777","https://retexgnv.com/","","",5,6,Hot,Ocala,Roofing,"Low visibility despite good rating"
"AF Roofing","521 SE 2nd St, Ocala, FL 34471","(352) 644-6007","https://af-roofing.ueniweb.com/","","",5,22,Hot,Ocala,Roofing,"UENI subdomain - limited"
"Florida Roof Design & Roofing Contractors of Ocala","2817 N Pine Ave, Ocala, FL 34475","(321) 750-2434","https://www.floridaroofdesign.com/","loma@floridaroofdesign.com","99%",5,18,Hot,Ocala,Roofing,"Low review count"
"Beaver Roofing LLC","7 E Silver Springs Blvd Ste 425, Ocala, FL 34470","(352) 456-0018","http://www.beaverroofs.com/","","",5,19,Hot,Ocala,Roofing,"No email found"
"Layfield Roofing & Construction","4045 S Pine Ave, Ocala, FL 34480","(352) 274-5889","https://layfieldroofing.com/","","",5,55,Warm,Ocala,Roofing,"No email found"
"Worthmann Roofing and Gutters","2511 NE 3rd St, Ocala, FL 34470","(352) 327-3822","https://www.worthmannroofing.com/locations/ocala/","sales@worthmannroofing.com","83%",4.8,77,Warm,Ocala,Roofing,"Moderate presence"
"Platinum Roofing and Exteriors","603 E Fort King St Suite 300, Ocala, FL 34471","(352) 833-5625","https://platinumroofingext.com/","info@platinumroofingext.com","80%",5,28,Warm,Ocala,Roofing,"Low review count"
"RoofTek","217 SE 1st Ave Suite 200, Ocala, FL 34471","(352) 364-9330","https://rooftek.com/location-home/florida/ocala-fl/","jake@rooftek.com","99%",4.9,33,Warm,Ocala,Roofing,"Moderate presence"
"EMC ROOFING LLC","2501 SW 57th Ave Unit 202, Ocala, FL 34474","(813) 535-1481","http://www.emcroofing.com/","ever@emcroofing.com","99%",4.9,77,Warm,Ocala,Roofing,"Moderate presence"
"FNF Roofing Inc","2922 NE 23rd St, Ocala, FL 34470","(352) 509-3277","https://fnfroofinginc.com/fl/","","",4.6,84,Warm,Ocala,Roofing,"No email found"
"Scott Smith Roofing - Ocala","2105 NE 19th Ave, Ocala, FL 34470","(352) 867-0044","http://www.scottsmithroofing.com/","","",4.3,56,Warm,Ocala,Roofing,"No email found"
"Southway Building & Roofing","3225 NE 14th St, Ocala, FL 34470","(352) 629-9162","https://southwaybuilding.com/","","",4.7,26,Warm,Ocala,Roofing,"No email found"
"Bold City Roofing and Solar","2018 E Silver Springs Blvd, Ocala, FL 34470","(888) 994-3277","https://boldcityroofing.com/","","",5,179,Low,Ocala,Roofing,"Well established"
"Action Roofing","85 SW 52nd Ave Unit 400, Ocala, FL 34474","(352) 607-4741","https://actionroofing.com/ocala-roofing/","","",4.9,229,Low,Ocala,Roofing,"Well established"
"Sentinel Roofing, LLC","1730 NE 23rd Terrace, Ocala, FL 34470","(352) 290-3631","https://sentinelroofingfl.com/","","",4.9,129,Low,Ocala,Roofing,"Well established"
"Ocala Roofing Inc.","2550 NE 36th Ave Suite A, Ocala, FL 34470","(352) 622-5235","https://ocalaroofing.com/","","",4.8,107,Low,Ocala,Roofing,"Well established"
